source,model,storage,lock_status,price,condition,url,timestamp
ebay,iphone 13,128GB,unlocked,292.99,Very Good - Refurbished,https://www.ebay.com/itm/354393355064?_skw=iPhone+13&epid=11049276145&hash=item52837d7338:g:DDcAAOSwEjhjcrCI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cnyqlS8dLziXa4X9lih1ma%2Fz4zeSYXXqOusu5KGf1UNFfzTkXfxT8L5T7b1GMRe1ROxVnji%2FXl5vhPcT7M0M9y0B2TTjD7YGL8--UhDt5%2FQO015maB1k%2Fk7Ik8Uwq23uG%2FW5ts0hOhvMAznUh94nEAMuEGI%2FZ7IzEODo7%2FRI0cytsOOigc5sacBooBQTJ%2Fw6sHtXVk9VRgS1E51W6qUYdarwXfDsS3tx%2BxyMPCkr3b5KdE5gb9TsOFyzv83bjLAshLUpt55cGyA8DGZgL4xwUY%7Ctkp%3ABk9SR7Sh1tjqZQ,2025-06-09 12:34:09.329641
ebay,iphone 13,128GB,unlocked,299.95,Excellent - Refurbished,https://www.ebay.com/itm/404240045218?_skw=iPhone+13&epid=8049288614&hash=item5e1e9594a2:g:~z8AAOSwVZxkNGTt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fH6fQV1fRukXnZLc4a%2BDwrjc5q6P7sqXSEHtyX3lKsXdQk4ltXNsG%2FHTPoQf%2BuAJC3KDAG6phOG1liNzjuBaVJcheZykxa%2FuED8%2BxqyFyjFWuZfxinwsImD4r8D3a8PNEVJ%2Fs9kzuEdXoRLSe0hKfv9DQ7AtzJcAjFrr1J78%2FzgackB0mUD%2B6vSNP%2BDGADznzcpgkJBHaycbDPmfVl6rEhJft4EQRZadl9EIii6Z3mhpN2UYe%2BHeFZqoD9L9kXfDfbuEFH4VNSna3DSoS83%2Fp%2F%7Ctkp%3ABk9SR7ah1tjqZQ,2025-06-09 12:34:09.332716
ebay,iphone 13,128GB,unlocked,290.99,Excellent - Refurbished,https://www.ebay.com/itm/256350256024?_skw=iPhone+13&epid=11049276145&hash=item3bafaa7b98:g:l5AAAeSwKmNoPGVS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dleGoFnNMQE0P4M4saTrl7famMQo7ubpNwIg9wJWtIQwsE6flm4HPZKYj791jUuBjoILlwK5rVujVf7hyWFCFdHUqIMlzXB15k5%2F8difqyiaUicobVKCBMbwIz2QwuWcMCTqYJF3YVdyrChFshI%2F%2B9YqLMOQOy0DQiULdJtP5TO%2FOQTvdIAkVdt6foq5COQcGsCg7f6DaPrYSBcBCSN73Rid8vVqfD4llfwiVvG1kF3Q%3D%3D%7Ctkp%3ABk9SR7ah1tjqZQ,2025-06-09 12:34:09.333716
ebay,iphone 13,128GB,unlocked,259.99,Pre-Owned,https://www.ebay.com/itm/226415688103?_skw=iPhone+13&epid=11049276145&hash=item34b76d39a7:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cZBLkjQ2TWgmuPAjV660wdfNgrMKJ53nOWS%2FFulkAyCdgEa%2BumY5IKOVxELEzVxDlUU3CqOwxBo1b2S0VN0q%2FtmcSR8T4iyEUh%2FldKLTNycQ8XXka7Lxk3QZXcFI1aKP5azFE8XPdhqIwUmnACnXL%2F5rhJboigysLNQsiC9NMoKsdhg%2BAkMP51uMTZ%2B6%2BISb4gy%2FDXDpvdwobzV5NIg5slRelnvXI7qDsSLGeYSqPNgw%3D%3D%7Ctkp%3ABk9SR7ih1tjqZQ,2025-06-09 12:34:09.333716
ebay,iphone 13,128GB,unlocked,293.99,Excellent - Refurbished,https://www.ebay.com/itm/325894456782?_skw=iPhone+13&epid=22049282568&hash=item4be0d2c5ce:g:sdAAAOSwSg1lxQpl&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dhHeP1Fw2kBUFMOSq8aqH676E8MnBXDLZEzgmgIjOGR4iwabi6Q%2FPZ6a5tgTo7NV4OfiaWaWFlzIsEFKCJdwjkw2SZqmRfAKI8I4ll2VQqk%2FG%2B2DJeVoR37dOzPyRvZq3cDtAmBbYuL8awjCXoOcMGNjmkG4EYYnDvNRibCwPcVLHyPsmJZd4SpPwX8syjWu6RdBUeT5BVBHMEB%2B62AJzdTj0SS3BK54lsQnyM%2BYLFY8K%2BZnEEQbTI9Fd1LY%2FeUF6l5ZG6pYs4ZiMnnvRfMa4k%7Ctkp%3ABk9SR7ih1tjqZQ,2025-06-09 12:34:09.334750
ebay,iphone 13,128GB,unlocked,325.0,Open Box,https://www.ebay.com/itm/167480640408?_skw=iPhone+13&epid=11049276145&hash=item26fe9fc398:g:1owAAOSwiy9oDm2o&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eEdCT8JxBvEBjp3Yl80mYPrrJNgaMwAMJ9PNzL%2BJ%2Bt0vp%2FaC9bJP3fRnmq7p2lE3jFfRAwNREBQWRJZVyug2lIcYesjaaJl6nE1k0PLO%2BftxatjT7E4evmCHfORsc6LCZxR0oNo28hQKA2S6bUy6GKISc9CMAcv1BCtLcwu%2BXimjDNqiMuxNZbmprLRw8tSKMk%2FcZ8BbSdSnSTOb3bSHXK1RrHpC50Q3Abas70kNSclZBUGQ8Sq23kqIA11Z8lgZ5UAJwEXX4ZY6Fh81vcgeHR%7Ctkp%3ABk9SR7qh1tjqZQ,2025-06-09 12:34:09.334750
ebay,iphone 13,128GB,unlocked,279.99,Pre-Owned,https://www.ebay.com/itm/235791015716?_skw=iPhone+13&epid=22049282568&hash=item36e63d5f24:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dSs4T7ZHW%2FR%2B1xhEX8Xi1IRSft71FALM%2Ff%2BvUwL2YRDqMZT%2BLWLaPN3LQgZKfdGpbuQvNIXpLmivFTRelrTG39ZoZ8gL44i5aEaKG8leJ8bln9sgvBPFcv8Q6ldty3jddq8%2BL3FWEvWQdGhcrqgxYbTKQQjv73lriur0MUJjdci%2F3EjSl7syLDK7%2BK1eKmqbcGjKJy7jY90srpak4ysSCt%2BotmK6Un5ghMvoOOz8wmow%3D%3D%7Ctkp%3ABk9SR7qh1tjqZQ,2025-06-09 12:34:09.335751
ebay,iphone 13,128GB,unlocked,286.95,Very Good - Refurbished,https://www.ebay.com/itm/404240048516?_skw=iPhone+13&epid=22049282568&hash=item5e1e95a184:g:L38AAOSwjZ5kNFYd&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fBgXqAdfhk9VZWcP%2BQu0wK1XelxZw8BfoyaCoWDT5e%2FW2CKt7pEpFrQs%2Fw0bI%2F2N9%2FgGWdRJi9bN61zHetB1waAyVwBXWXEP0g2TXEHL6WYtMFLp%2B903c4TaHpRqV8HHehb8sqpu7FnWym05f%2FdFZPsPomHzpICMeONqkv8EhxfUn%2B7cjpGrjZuDGPKMzANJSXbrI9Zn9dzAEkixcuD%2Ftc%2FwKlQyb4lBvGwWww0TuFxQ%3D%3D%7Ctkp%3ABk9SR7yh1tjqZQ,2025-06-09 12:34:09.335751
ebay,iphone 13,256GB,unlocked,317.95,Excellent - Refurbished,https://www.ebay.com/itm/386511533624?_skw=iPhone+13&epid=2320328674&hash=item59fde1f638:g:~z8AAOSwVZxkNGTt&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fAacKu%2BhZ%2BjYBcfWeJpNQPUklIuCCFVcLYFxCx8XMGsumGuUaOXJ01IcuCxLo4hjlT%2BeOX2GHVLc5K%2FkhBdzEvDRhseISBO0bIo3hNcQvKreKfdomjudf1dF7kGO9WDqXsq44CeQKVCqcNySmQi25rZqMUoDDEtE%2BhJSdwv%2FWPJynSmyC9vJeaVP43Fe6z7pIbG%2Bc83oJKn4UPypOoERdrjxuo%2B%2F3n1hKsgL2%2B3GFoQQ%3D%3D%7Ctkp%3ABk9SR7yh1tjqZQ,2025-06-09 12:34:09.336750
ebay,iphone 13,128GB,unlocked,247.5,Pre-Owned,https://www.ebay.com/itm/286636376931?_skw=iPhone+13&epid=7049287412&hash=item42bcdc0363:g:v8kAAeSwhjVoRsC1&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ez8uXgIwPPT8Uo%2FttMP%2Famc4x%2BI1AyDY%2FLpdSnqVCaaSJcKfvA0lgTv95fo4nPgyhe7tyvCk3J9bfyOGysBoweDzGLxEbqqv1bqNB8oWnVs9dSrSREow%2BoNBVANf50vqJC3xXwwfX1ZwCsfOKJj1Drsv%2F6OQZtB2nZ0sfWuH%2BZAvKl9YZ%2ByoRTII9YLFEar9gQOD7H155BNL8Mbk2SMkgOq15nAlNzMVEB6RS7qkl2IA%3D%3D%7Ctkp%3ABk9SR8Ch1tjqZQ,2025-06-09 12:34:09.338779
